term,votes,chosen,confidence,margin
verandah,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
verify,"{""wordnet_lexnames"": [""verb.cognition"", ""verb.communication"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Professional""], ""vote_detail"": null}",Professional,,
versatile,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
versatility,"{""wordnet_lexnames"": [""noun.cognition""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
viable,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
vibrant,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
vicious,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
viciously,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
victorious,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
victoriously,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
violet,"{""wordnet_lexnames"": [""adj.all"", ""noun.attribute"", ""noun.plant""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
vitality,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.phenomenon"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Emotions"", ""Health"", ""Home""], ""vote_detail"": null}",Health,,
vocal,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert"", ""noun.communication""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
voluntarily,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
voracious,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
voraciously,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
vulnerability,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
vulnerable,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
warehouse,"{""wordnet_lexnames"": [""noun.artifact"", ""verb.possession""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
wares,"{""wordnet_lexnames"": [""noun.artifact"", ""verb.competition""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
warrant,"{""wordnet_lexnames"": [""noun.communication"", ""noun.possession"", ""verb.communication""], ""mapped_categories"": [""Grammar"", ""Shopping"", ""Social""], ""vote_detail"": null}",Social,,
wary,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
washtub,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
waterfront,"{""wordnet_lexnames"": [""noun.location""], ""mapped_categories"": [""Home"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
wayside,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
well-being,"{""wordnet_lexnames"": [""noun.state""], ""mapped_categories"": [""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
whatsoever,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
wholly,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
wicked,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
wickedly,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
withdrawn,"{""wordnet_lexnames"": [""adj.all"", ""verb.change"", ""verb.communication"", ""verb.contact"", ""verb.emotion"", ""verb.motion"", ""verb.possession"", ""verb.social""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Professional"", ""Travel""], ""vote_detail"": null}",Grammar,,
wizened,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
woo,"{""wordnet_lexnames"": [""verb.social""], ""mapped_categories"": [""Activities"", ""Professional""], ""vote_detail"": null}",Professional,,
wooded,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
wrangle,"{""wordnet_lexnames"": [""noun.communication"", ""verb.communication"", ""verb.stative""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
wrench,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.event"", ""noun.state"", ""verb.body"", ""verb.contact"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Health"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
wry,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
wryly,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
zany,"{""wordnet_lexnames"": [""adj.all"", ""noun.person""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
aberration,"{""wordnet_lexnames"": [""noun.phenomenon"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Emotions"", ""Health"", ""Home""], ""vote_detail"": null}",Health,,
abhorrent,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
abject,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
abundantly,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
acrobatic,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
ad,"{""wordnet_lexnames"": [""adv.all"", ""noun.communication""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
ad-lib,"{""wordnet_lexnames"": [""adj.all"", ""noun.communication"", ""verb.creation""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Food"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
additive,"{""wordnet_lexnames"": [""adj.all"", ""noun.artifact""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Grammar,,
adept,"{""wordnet_lexnames"": [""adj.all"", ""noun.person""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
adhesion,"{""wordnet_lexnames"": [""noun.act"", ""noun.attribute"", ""noun.body"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
adornment,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
adulterate,"{""wordnet_lexnames"": [""adj.all"", ""verb.change""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
aghast,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
agile,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
all-encompassing,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
allegorical,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
allegory,"{""wordnet_lexnames"": [""noun.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
allotment,"{""wordnet_lexnames"": [""noun.act"", ""noun.possession""], ""mapped_categories"": [""Activities"", ""Shopping""], ""vote_detail"": null}",Shopping,,
allusion,"{""wordnet_lexnames"": [""noun.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
amorphous,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
anarchic,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
angular,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
annex,"{""wordnet_lexnames"": [""noun.artifact"", ""verb.contact"", ""verb.possession""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
anonymity,"{""wordnet_lexnames"": [""noun.state""], ""mapped_categories"": [""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
antediluvian,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert"", ""noun.person""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
anthology,"{""wordnet_lexnames"": [""noun.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
anthropological,"{""wordnet_lexnames"": [""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
antidote,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
antithesis,"{""wordnet_lexnames"": [""noun.communication"", ""noun.relation""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
antithetical,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
apostle,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
apprehend,"{""wordnet_lexnames"": [""verb.cognition"", ""verb.contact"", ""verb.emotion""], ""mapped_categories"": [""Activities"", ""Emotions""], ""vote_detail"": null}",Emotions,,
aptitude,"{""wordnet_lexnames"": [""noun.cognition""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
arcane,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
archetypal,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
archetype,"{""wordnet_lexnames"": [""noun.cognition""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
archival,"{""wordnet_lexnames"": [""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
arduous,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
arduously,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
armory,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.cognition""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Grammar,,
articulation,"{""wordnet_lexnames"": [""noun.act"", ""noun.body"", ""noun.communication"", ""noun.shape""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Health"", ""Social""], ""vote_detail"": null}",Social,,
assimilation,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.process"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Emotions"", ""Grammar"", ""Health""], ""vote_detail"": null}",Grammar,,
astringent,"{""wordnet_lexnames"": [""adj.all"", ""noun.artifact""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Grammar,,
attributive,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
attrition,"{""wordnet_lexnames"": [""noun.act"", ""noun.event"", ""noun.feeling"", ""noun.phenomenon"", ""noun.process""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Home""], ""vote_detail"": null}",Emotions,,
austere,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
austerely,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
autonomous,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
autopilot,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.cognition""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Grammar,,
averse,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
avian,"{""wordnet_lexnames"": [""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
axiom,"{""wordnet_lexnames"": [""noun.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
axiomatic,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
babble,"{""wordnet_lexnames"": [""noun.communication"", ""verb.communication"", ""verb.perception""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
banish,"{""wordnet_lexnames"": [""verb.motion"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
banishment,"{""wordnet_lexnames"": [""noun.act"", ""noun.state""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
baroque,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert"", ""noun.attribute"", ""noun.time""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Time & Quantity""], ""vote_detail"": null}",Time & Quantity,,
bauble,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.communication""], ""mapped_categories"": [""Grammar"", ""Home"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
behest,"{""wordnet_lexnames"": [""noun.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
belligerence,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.feeling""], ""mapped_categories"": [""Abstract"", ""Emotions""], ""vote_detail"": null}",Emotions,,
belligerent,"{""wordnet_lexnames"": [""adj.all"", ""noun.person""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
bereft,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
blandishment,"{""wordnet_lexnames"": [""noun.act"", ""noun.communication""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
blight,"{""wordnet_lexnames"": [""noun.state"", ""verb.weather""], ""mapped_categories"": [""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
blubber,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.substance"", ""verb.body"", ""verb.communication""], ""mapped_categories"": [""Abstract"", ""Health""], ""vote_detail"": null}",Health,,
blubbery,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
blurb,"{""wordnet_lexnames"": [""noun.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
bogus,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
bout,"{""wordnet_lexnames"": [""noun.act"", ""noun.event"", ""noun.time""], ""mapped_categories"": [""Activities"", ""Time & Quantity""], ""vote_detail"": null}",Time & Quantity,,
brandish,"{""wordnet_lexnames"": [""noun.communication"", ""verb.contact"", ""verb.perception""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
breadwinner,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
brevity,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.communication""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
brim,"{""wordnet_lexnames"": [""noun.artifact"", ""verb.change"", ""verb.stative""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
brink,"{""wordnet_lexnames"": [""noun.attribute"", ""noun.location"", ""noun.shape""], ""mapped_categories"": [""Abstract"", ""Home"", ""Professional"", ""Travel""], ""vote_detail"": null}",Professional,,
brood,"{""wordnet_lexnames"": [""noun.group"", ""verb.body"", ""verb.cognition"", ""verb.emotion"", ""verb.stative""], ""mapped_categories"": [""Emotions"", ""Health"", ""Professional""], ""vote_detail"": null}",Professional,,
buccaneer,"{""wordnet_lexnames"": [""noun.person"", ""verb.stative""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
calamitous,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
callous,"{""wordnet_lexnames"": [""adj.all"", ""verb.change""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
callously,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
calorific,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
capacious,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
catastrophically,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
centralized,"{""wordnet_lexnames"": [""adj.all"", ""verb.change""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
choreography,"{""wordnet_lexnames"": [""noun.act"", ""noun.communication""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
chronologically,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
chronology,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.communication"", ""noun.relation""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
cinematographer,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
circumnavigate,"{""wordnet_lexnames"": [""verb.motion""], ""mapped_categories"": [""Activities"", ""Travel""], ""vote_detail"": null}",Travel,,
clinch,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact"", ""verb.communication"", ""verb.contact""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
cloister,"{""wordnet_lexnames"": [""noun.artifact"", ""verb.change"", ""verb.contact"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
cloistered,"{""wordnet_lexnames"": [""adj.all"", ""verb.change"", ""verb.contact"", ""verb.stative""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar""], ""vote_detail"": null}",Grammar,,
coax,"{""wordnet_lexnames"": [""noun.artifact"", ""verb.communication""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
cocoon,"{""wordnet_lexnames"": [""noun.animal"", ""verb.contact"", ""verb.motion""], ""mapped_categories"": [""Activities"", ""Home"", ""Travel""], ""vote_detail"": null}",Travel,,
cogent,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
collider,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
colloquial,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
colloquially,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
colloquium,"{""wordnet_lexnames"": [""noun.communication"", ""noun.group""], ""mapped_categories"": [""Grammar"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
combustion,"{""wordnet_lexnames"": [""noun.act"", ""noun.process"", ""noun.state""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Health""], ""vote_detail"": null}",Health,,
commensurate,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
commode,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
computerize,"{""wordnet_lexnames"": [""verb.creation"", ""verb.possession""], ""mapped_categories"": [""Activities"", ""Food""], ""vote_detail"": null}",Food,,
conciliation,"{""wordnet_lexnames"": [""noun.act"", ""noun.communication"", ""noun.state""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Grammar"", ""Health"", ""Social""], ""vote_detail"": null}",Social,,
conciliatory,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
concurrence,"{""wordnet_lexnames"": [""noun.act"", ""noun.attribute"", ""noun.communication"", ""noun.state""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Emotions"", ""Grammar"", ""Health"", ""Social""], ""vote_detail"": null}",Social,,
condensation,"{""wordnet_lexnames"": [""noun.act"", ""noun.cognition"", ""noun.communication"", ""noun.event"", ""noun.phenomenon"", ""noun.process""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar"", ""Home"", ""Social""], ""vote_detail"": null}",Social,,
conduit,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
confabulate,"{""wordnet_lexnames"": [""verb.communication"", ""verb.creation""], ""mapped_categories"": [""Activities"", ""Food""], ""vote_detail"": null}",Food,,
confabulation,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.communication""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
confection,"{""wordnet_lexnames"": [""noun.act"", ""noun.food"", ""verb.creation""], ""mapped_categories"": [""Activities"", ""Food""], ""vote_detail"": null}",Food,,
confrontational,"{""wordnet_lexnames"": [""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
conglomerate,"{""wordnet_lexnames"": [""adj.all"", ""noun.group"", ""noun.substance"", ""verb.change""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Professional""], ""vote_detail"": null}",Grammar,,
conjecture,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.communication"", ""verb.cognition""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
connotation,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.communication""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
consignment,"{""wordnet_lexnames"": [""noun.act"", ""noun.artifact""], ""mapped_categories"": [""Activities"", ""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
constrained,"{""wordnet_lexnames"": [""adj.all"", ""verb.change"", ""verb.contact""], ""mapped_categories"": [""Abstract"", ""Activities"", ""Grammar""], ""vote_detail"": null}",Grammar,,
contagion,"{""wordnet_lexnames"": [""noun.communication"", ""noun.event"", ""noun.state""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Grammar"", ""Health"", ""Social""], ""vote_detail"": null}",Social,,
contemptuous,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
contemptuously,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
contractual,"{""wordnet_lexnames"": [""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
contractually,"{""wordnet_lexnames"": [""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
contraption,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
contrive,"{""wordnet_lexnames"": [""verb.creation""], ""mapped_categories"": [""Activities"", ""Food""], ""vote_detail"": null}",Food,,
cordon,"{""wordnet_lexnames"": [""noun.artifact"", ""noun.communication"", ""noun.group""], ""mapped_categories"": [""Grammar"", ""Home"", ""Professional"", ""Shopping"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
corpus,"{""wordnet_lexnames"": [""noun.body"", ""noun.group"", ""noun.possession""], ""mapped_categories"": [""Health"", ""Professional"", ""Shopping""], ""vote_detail"": null}",Shopping,,
cosmic,"{""wordnet_lexnames"": [""adj.all"", ""adj.pert""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
cosset,"{""wordnet_lexnames"": [""verb.social""], ""mapped_categories"": [""Activities"", ""Professional""], ""vote_detail"": null}",Professional,,
counsel,"{""wordnet_lexnames"": [""noun.communication"", ""noun.person"", ""verb.communication""], ""mapped_categories"": [""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
counterproductive,"{""wordnet_lexnames"": [""adj.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
